DATE,NEI,NEI-PTER
1/1/1994,10.0222176364994002,11.075565177020600
2/1/1994,9.8457316765236609,11.001819307195500
3/1/1994,9.7395258780484184,10.953586311399500
4/1/1994,9.6083225791090001,10.792711831351401
5/1/1994,9.3970786897942897,10.614654124860101
6/1/1994,9.3876095459978401,10.602130140295699
7/1/1994,9.3311786562976895,10.492146033009799
8/1/1994,9.2800618110162212,10.398550490300400
9/1/1994,9.1751555755095104,10.299259923744099
10/1/1994,9.1143344102890200,10.253913312330800
11/1/1994,9.0130926047542008,10.164333656141000
12/1/1994,8.9340122721819810,10.051973198189801
1/1/1995,8.9540351262622302,10.137101687338200
2/1/1995,8.8829314841831390,9.964122042696321
3/1/1995,8.9216236775266893,10.024039752467900
4/1/1995,9.0099269595736189,10.100371407991700
5/1/1995,9.0503223158157606,10.181925003728701
6/1/1995,8.9877573826313704,10.110902426350499
7/1/1995,8.9723136455433909,10.107820795968101
8/1/1995,9.0142337990217598,10.159135442632000
9/1/1995,8.9911691315787898,10.155854416183200
10/1/1995,8.9970831746230306,10.118508903386200
11/1/1995,8.9825816738055995,10.119114790421300
12/1/1995,9.0049518190343090,10.114242864774200
1/1/1996,8.9750763280578099,10.008901987565100
2/1/1996,8.9536835538650799,10.037635239224000
3/1/1996,8.8875437549174698,9.981874566974120
4/1/1996,8.8805219520499996,9.961392424859740
5/1/1996,8.8948019983950388,9.972969715433900
6/1/1996,8.7469857929738897,9.819932244204161
7/1/1996,8.7507518085637503,9.857408874783390
8/1/1996,8.6626083180073294,9.761540359171899
9/1/1996,8.5878530731768503,9.685702001868220
10/1/1996,8.6504698909502000,9.733530603264080
11/1/1996,8.7302425717840393,9.738179915828550
12/1/1996,8.6550332165790813,9.734913202193050
1/1/1997,8.6515774546436095,9.708689781164580
2/1/1997,8.6523587032582512,9.687182384885880
3/1/1997,8.5634617243146494,9.572852907155021
4/1/1997,8.4644318580745299,9.505941812116980
5/1/1997,8.4527200595936396,9.448794744357841
6/1/1997,8.4087976504795510,9.392434176249729
7/1/1997,8.2775663720508685,9.291291926607061
8/1/1997,8.2387800580454300,9.236332744151550
9/1/1997,8.3048985313228396,9.296010206499233
10/1/1997,8.2125335216974804,9.190191007725520
11/1/1997,8.1842725590356089,9.157166251201760
12/1/1997,8.2103236543373406,9.152815579350010
1/1/1998,8.1299429234767384,9.103696297809851
2/1/1998,8.0811261492827899,9.022496440165421
3/1/1998,8.1308706920932394,9.067755055570119
4/1/1998,7.9677830575132100,8.847645134008228
5/1/1998,7.9757766558079615,8.892243715011080
6/1/1998,8.0427802105841000,8.965291317906010
7/1/1998,8.1017204193856092,9.050223533227390
8/1/1998,8.0758001891403790,8.943523336493971
9/1/1998,8.0157380851378104,8.865184311211021
10/1/1998,8.0395208853302105,8.879093302635610
11/1/1998,7.9413930914991395,8.747015735381540
12/1/1998,7.9163405291575906,8.740567155051609
1/1/1999,7.8997975320488303,8.738909614983861
2/1/1999,7.9406530892410894,8.766826890874960
3/1/1999,7.8905080948579984,8.744349202897411
4/1/1999,8.0777747216394697,8.868569023598880
5/1/1999,7.9069034965183604,8.736457068797970
6/1/1999,7.9297354864532990,8.749466004168660
7/1/1999,7.8759155642023693,8.702673571512630
8/1/1999,7.8474927833854995,8.649008983133690
9/1/1999,7.8562405236438595,8.655069285329061
10/1/1999,7.7605658205777903,8.523689272284040
11/1/1999,7.7298072863189908,8.488603046245089
12/1/1999,7.6826809324120306,8.463216411044321
1/1/2000,7.6241265588834306,8.379190052683121
2/1/2000,7.7396897602422303,8.485592071036690
3/1/2000,7.7634914468439487,8.522778795733620
4/1/2000,7.6428147112311997,8.366125722476561
5/1/2000,7.8128447626283508,8.599746386602849
6/1/2000,7.6566803784241486,8.407554675531841
7/1/2000,7.6704883451270707,8.426355166252460
8/1/2000,7.7025096406930098,8.476675780801820
9/1/2000,7.6603829117828193,8.423971801036929
10/1/2000,7.6502640981336114,8.403088081712800
11/1/2000,7.6854791072776996,8.474903546542780
12/1/2000,7.6688035711630018,8.418607670143770
1/1/2001,7.7593570383336914,8.533166606155300
2/1/2001,7.7918244304918209,8.553623585866831
3/1/2001,7.8507628305108605,8.613629505260160
4/1/2001,8.0054744202946697,8.754693139060569
5/1/2001,8.0904820139706093,8.904457467100139
6/1/2001,8.1697174445373300,9.051063915354060
7/1/2001,8.1247674494454696,8.967051450148270
8/1/2001,8.4382834622537910,9.251746581367920
9/1/2001,8.4082568458674203,9.390078037073931
10/1/2001,8.6758073389510209,9.702608006896110
11/1/2001,8.7627108199784711,9.730809750225941
12/1/2001,8.8722660498819899,9.879581362362790
1/1/2002,8.9462448519722813,9.879743005907979
2/1/2002,8.8522126073395704,9.827743269422440
3/1/2002,8.8366932868972992,9.781360819830970
4/1/2002,8.9060790650907613,9.857838202163579
5/1/2002,8.8298686379009403,9.784003399453770
6/1/2002,8.8173768259197995,9.754793551956450
7/1/2002,8.8341147551705994,9.802296779906101
8/1/2002,8.7694579339922285,9.795239437773439
9/1/2002,8.7322790434001405,9.725836604695090
10/1/2002,8.7092344004804296,9.702946495150799
11/1/2002,8.8497383195232100,9.809165629856951
12/1/2002,8.7809993372161799,9.758465241614740
1/1/2003,8.8271598179708199,9.869157743060221
2/1/2003,8.8520176214558290,9.931910038464670
3/1/2003,8.9649548237532297,10.023674747727201
4/1/2003,8.9179939527375200,9.992481216166960
5/1/2003,8.9933516328196195,10.039780242568900
6/1/2003,9.0311809732179995,10.078078071913200
7/1/2003,9.0010284165859193,10.064996734490700
8/1/2003,8.9766531027323015,10.013882684951399
